source,title,source_type,research_role
Buddhist tradition,Vesākha / Vesak,religious_tradition,Full Moon observance associated with Buddha's birth awakening and parinirvana
Buddhist tradition,Buddha's Birth,religious_tradition,Vesak tradition
Buddhist tradition,Buddha's Awakening,religious_tradition,Vesak tradition
Buddhist tradition,Buddha's Parinirvāṇa,religious_tradition,Vesak tradition
Buddhist tradition,Birth → Awakening → Passing,symbolic,Life-cycle interpretation
Buddhist tradition,Full Moon → Liberation,symbolic,Research hypothesis / symbolic association
Buddhist tradition,Sarnath,religious_geography,Buddha's first teaching / Dharmachakra Pravartana tradition
Hindu tradition,Kashi → Moksha,religious_geography,Traditional association of Varanasi with liberation
Comparative research,Death → Liberation,comparative_theme,Compare Buddhist and Kashi traditions
Comparative research,Full Moon → Awakening,comparative_theme,Compare lunar symbolism and awakening traditions
Comparative research,Varanasi → Sarnath,geography,Map Buddhist and Hindu sacred geography
Comparative research,Varanasi → Buddhism,history,Investigate Buddhist connections with the wider Kashi region
