source,title,source_type,research_role
Buddhist tradition,Buddha Purnima / Vesak,religious_tradition,Full Moon associated with Buddha birth awakening and parinirvana
Buddhist tradition,Āṣāḍha Purnima / Dharma Day,religious_tradition,Full Moon associated with Buddha's first sermon at Sarnath
Buddhist tradition,Sarnath First Sermon,religious_history,Turning of the Dharma Wheel
Buddhist tradition,Eightfold Path,religious_philosophy,Buddhist Eightfold Path
Buddhist tradition,Four Noble Truths,religious_philosophy,Foundational Buddhist teaching
Sikh tradition,Kartik Purnima / Guru Nanak Gurpurab,religious_tradition,Traditional full Moon observance of Guru Nanak's Parkash
Christian tradition,Paschal Full Moon,religious_calendar,Lunar calculation associated with Easter
Christian tradition,Eighth Day / Resurrection,theology,Christian symbolism of Resurrection as eighth day
Hindu tradition,Kashi / Moksha,religious_geography,Traditional association of Varanasi with liberation
Hindu tradition,Kashi / Shiva,religious_geography,Shiva sacred geography of Varanasi
Geography,Sarnath → Varanasi 8 km,geography,Documented spatial relationship
Numerical pattern,7,numerical_pattern,Pattern-search variable
Numerical pattern,8,numerical_pattern,Pattern-search variable
Numerical pattern,13,numerical_pattern,Pattern-search variable
Numerical pattern,infinity / ∞,symbolic_pattern,Modern symbolic pattern variable
Comparative theme,Full Moon → Awakening,comparative_theme,Compare traditions without assuming equivalence
Comparative theme,Death → Liberation,comparative_theme,Compare Buddhist and Kashi traditions
Comparative theme,Birth → Transformation,religious_symbolism,Compare birth awakening resurrection and liberation narratives
